,gene_name
1302,LENEP
1303,ZBTB7B
1304,DCST2
1305,DCST1
1306,ADAM15
1307,EFNA4
1308,AL691442.2
1309,EFNA3
1310,EFNA1
1311,SLC50A1
1312,DPM3
1313,KRTCAP2
1314,AL713999.1
1315,TRIM46
1316,MUC1
1317,THBS3
1318,MTX1
1319,GBA
1320,FAM189B
1321,SCAMP3
1322,CLK2
1323,HCN3
1324,PKLR
1325,FDPS
1326,RUSC1
1327,ASH1L
1328,MSTO1
1329,YY1AP1
1330,DAP3
1331,GON4L
1332,SYT11
1333,RIT1
1334,KHDC4
1335,RXFP4
1336,ARHGEF2
1337,SSR2
1338,UBQLN4
1339,LAMTOR2
1340,RAB25
1341,MEX3A
1342,LMNA
1343,SEMA4A
1344,SLC25A44
1345,PMF1-BGLAP
1346,PMF1
1347,BGLAP
1348,PAQR6
1349,SMG5
1350,TMEM79
1351,GLMP
1352,VHLL
1353,CCT3
1354,TSACC
1355,RHBG
1356,C1orf61
1357,MEF2D
1358,IQGAP3
1359,TTC24
1360,NAXE
1361,GPATCH4
1362,HAPLN2
1363,BCAN
1364,NES
1365,CRABP2
1366,ISG20L2
1367,RRNAD1
1368,MRPL24
1369,HDGF
1370,PRCC
1371,SH2D2A
1372,NTRK1
1373,INSRR
1374,PEAR1
1375,LRRC71
1376,ARHGEF11
1377,ETV3L
1378,ETV3
1379,FCRL5
1380,FCRL4
1381,FCRL3
1382,FCRL2
1383,FCRL1
1384,CD5L
1385,KIRREL1
1386,AL138899.3
1387,CD1D
1388,CD1A
1389,CD1C
1390,CD1B
1391,CD1E
1392,OR10T2
1393,OR10K2
1394,OR10K1
1395,OR10R2
1396,OR6Y1
1397,OR6P1
1398,OR10X1
1399,OR10Z1
1400,SPTA1
1401,OR6K2
1402,OR6K3
1403,OR6N1
1404,OR6K6
1405,OR6N2
1406,MNDA
1407,PYHIN1
1408,IFI16
1409,AIM2
1410,CADM3
1411,ACKR1
1412,FCER1A
1413,OR10J1
1414,OR10J5
1415,APCS
1416,CRP
1417,DUSP23
1418,FCRL6
1419,SLAMF8
1420,AL590560.2
1421,VSIG8
1422,CFAP45
1423,TAGLN2
1424,IGSF9
1425,SLAMF9
1426,KCNJ10
1427,PIGM
1428,KCNJ9
1429,IGSF8
1430,ATP1A2
1431,ATP1A4
1432,CASQ1
1433,PEA15
1434,DCAF8
1435,AL139011.2
1436,PEX19
1437,COPA
1438,NCSTN
1439,NHLH1
1440,VANGL2
1441,SLAMF6
1442,CD84
1443,SLAMF1
1444,CD48
1445,SLAMF7
1446,LY9
1447,CD244
1448,ITLN1
1449,ITLN2
1450,F11R
1451,AL591806.3
1452,TSTD1
1453,USF1
1454,ARHGAP30
1455,NECTIN4
1456,KLHDC9
1457,PFDN2
1458,NIT1
1459,DEDD
1460,UFC1
1461,USP21
1462,PPOX
1463,B4GALT3
1464,ADAMTS4
1465,NDUFS2
1466,FCER1G
1467,APOA2
1468,TOMM40L
1469,NR1I3
1470,PCP4L1
1471,MPZ
1472,SDHC
1473,CFAP126
1474,FCGR2A
1475,HSPA6
1476,FCGR3A
1477,FCGR3B
1478,FCGR2B
1479,FCRLA
1480,FCRLB
1481,DUSP12
1482,ATF6
1483,OLFML2B
1484,NOS1AP
1485,AL512785.2
1486,SPATA46
1487,C1orf226
1488,SH2D1B
1489,UHMK1
1490,UAP1
1491,DDR2
1492,HSD17B7
1493,CCDC190
1494,RGS4
1495,RGS5
1496,NUF2
1497,PBX1
1498,LMX1A
1499,RXRG
1500,LRRC52
1501,MGST3
1502,ALDH9A1
1503,TMCO1
1504,UCK2
1505,FAM78B
1506,POGK
1507,TADA1
1508,ILDR2
1509,MAEL
1510,GPA33
1511,DUSP27
1512,POU2F1
1513,CD247
1514,CREG1
1515,RCSD1
1516,MPZL1
1517,ADCY10
1518,MPC2
1519,DCAF6
