"X","Cell","Run","Read_type","Reads","Align_rate","Aligned_reads","RNAseq","Aligned_reads_pair_adj"
244,"Lung","SRR8309037","paired",63499198,98.55,62578459.629,"Bulk",31289229.8145
245,"Retina","SRR10776647","unpaired",12565503,75.12,9439205.8536,"Ribo-tag",9439205.8536
246,"Retina","SRR10776648","unpaired",11739253,63.41,7443860.3273,"Ribo-tag",7443860.3273
247,"Retina","SRR10776649","unpaired",13065967,72.78,9509410.7826,"Ribo-tag",9509410.7826
248,"Retina","SRR11234920","unpaired",38987788,90.61,35326834.7068,"Bulk",35326834.7068
249,"Retina","SRR11234921","unpaired",50888636,91.71,46669968.0756,"Bulk",46669968.0756
250,"Retina","SRR4228460","paired",7929279,94.3,7477310.097,"Ribo-tag",3738655.0485
251,"Retina","SRR4228461","paired",7726301,94.88,7330714.3888,"Ribo-tag",3665357.1944
252,"Retina","SRR4228462","paired",9394635,94.38,8866656.513,"Ribo-tag",4433328.2565
253,"Retina","SRR4228463","paired",8972269,92.83,8328957.3127,"Ribo-tag",4164478.65635
254,"Retina","SRR4228464","paired",9346850,93.2,8711264.2,"Ribo-tag",4355632.1
255,"Retina","SRR4228465","paired",9660498,93.2,9003584.136,"Ribo-tag",4501792.068
256,"Retina","SRR4228466","paired",8821866,90.25,7961734.065,"Ribo-tag",3980867.0325
257,"Retina","SRR4228467","paired",10560733,89.51,9452912.1083,"Ribo-tag",4726456.05415
258,"Retina","SRR4228468","paired",9800344,87.05,8531199.452,"Ribo-tag",4265599.726
259,"Retina","SRR4228469","paired",7919292,95.2,7539165.984,"Ribo-tag",3769582.992
260,"Retina","SRR4228470","paired",7386185,94.18,6956309.033,"Ribo-tag",3478154.5165
261,"Retina","SRR4228471","paired",7093142,95.12,6746996.6704,"Ribo-tag",3373498.3352
262,"Retina","SRR4228472","paired",8407899,94.26,7925285.5974,"Ribo-tag",3962642.7987
263,"Retina","SRR4228473","paired",8494139,93.85,7971749.4515,"Ribo-tag",3985874.72575
264,"Retina","SRR4228474","paired",9006215,93.82,8449630.913,"Ribo-tag",4224815.4565
265,"Retina","SRR9920767","unpaired",99356873,90.73,90146490.8729,"Bulk",90146490.8729
266,"Retina","SRR9920768","unpaired",85731839,76.39,65490551.8121,"Bulk",65490551.8121
267,"Retina","SRR9920769","unpaired",97510105,85.72,83585662.006,"Bulk",83585662.006
